customer_unique_id,segment_name,r_score,f_score,m_score,rfm_code,monetary,recency_days,frequency
3ca5a15e04ae31d6e672d677f3fbea9a,"At-Risk Customers",5,2,5,525,1.00,517,1
3ea0dc7679b16aaac1968748e60ea49e,"At-Risk Customers",5,2,5,525,1.00,517,1
3ff672e35097cfd7e1cc43ef64cf4906,"At-Risk Customers",5,2,5,525,1.00,517,1
66832c8a08118ce07d6091866582b30f,"At-Risk Customers",5,2,5,525,1.00,517,1
86de506b9b12ab7fe977b53def0736ef,"At-Risk Customers",5,2,5,525,1.00,517,1
5f37e3a4e259226acfcff519bb54fbc5,"At-Risk Customers",5,2,5,525,1.00,517,1
61346bfa343a1a5814db5b16cd4d655a,"At-Risk Customers",5,2,5,525,1.00,517,1
62317cbed11d75c2098e370870706c85,"At-Risk Customers",5,2,5,525,1.00,517,1
6b999f361fb30b6274f1f63aa445b6bc,"At-Risk Customers",5,2,5,525,1.00,517,1
6fcf468df3f44e24a0cb39e77b287f12,"At-Risk Customers",5,2,5,525,1.00,517,1
7d34f4a28b0abbc5a8ae3e6fc49de2c5,"At-Risk Customers",5,2,5,525,1.00,517,1
8d60a4803f5cf4a4275d5b69009e0e4b,"At-Risk Customers",5,2,5,525,1.00,517,1
91649e225c832551bd36ef7f13c46f3e,"At-Risk Customers",5,2,5,525,1.00,517,1
abc5d89f00acd3f067ea79119ddbf445,"At-Risk Customers",5,2,5,525,1.00,517,1
9acebcf17af624dee704b51e8c17930d,"At-Risk Customers",5,2,5,525,1.00,517,1
b049293d1dbfd9c038175bea4b9b0b72,"At-Risk Customers",5,2,5,525,1.00,517,1
b4a14bd29c6da3d4b9a28abac2047194,"At-Risk Customers",5,2,5,525,1.00,517,1
93301b3d36827181311c650f0ceead5e,"At-Risk Customers",5,2,5,525,1.00,517,1
959957b04abdb0acd726e8f0e700a899,"At-Risk Customers",5,2,5,525,1.00,517,1
a656a885f44c74706aa992d47b46b820,"At-Risk Customers",5,2,5,525,1.00,517,1
c75509c723877bfaa691bba889dcf227,"At-Risk Customers",5,2,5,525,1.00,517,1
d3dd95e28fea1330ca84644f12339780,"At-Risk Customers",5,2,5,525,1.00,517,1
d7ef684a4356c48be1e9b1561092bef6,"At-Risk Customers",5,2,5,525,1.00,517,1
db6a3415113111c49e13e8ca75037728,"At-Risk Customers",5,2,5,525,1.00,518,1
c8c40a3a22947159eab9af128b2e51dd,"At-Risk Customers",5,2,5,525,1.00,518,1
e33df3ad85a5ef73e5c52ab705c587f7,"At-Risk Customers",5,2,5,525,1.00,518,1
e528ecbe1477d5b1772eee90ff2e9420,"At-Risk Customers",5,2,5,525,1.00,518,1
e7cb888e6948cb2c3f9347e048979fbe,"At-Risk Customers",5,2,5,525,1.00,518,1
ddf4401b7ef356067f85442943a7a476,"At-Risk Customers",5,2,5,525,1.00,518,1
de0344bb141d818d7ff8c0b73eb04d7e,"At-Risk Customers",5,2,5,525,1.00,518,1
bc78398ffb6426deee3da12bcccff478,"At-Risk Customers",5,2,5,525,1.00,518,1
3dc70ff7a5b9e83700bcd962bc53513f,"At-Risk Customers",5,2,5,525,1.00,518,1
35b8febc8fd46c7c7e07c29352efbfd5,"At-Risk Customers",5,2,5,525,1.00,518,1
3bdc76a9b822c247122bf22bc27b321d,"At-Risk Customers",5,2,5,525,1.00,518,1
520f032ab7d5fdde131bbc6d7e3520b6,"At-Risk Customers",5,2,5,525,1.00,518,1
536a45120c7e443ad9d244872e8e06a4,"At-Risk Customers",5,2,5,525,1.00,518,1
42daed543c3d0dc96eb236e24c20394d,"At-Risk Customers",5,2,5,525,1.00,518,1
45044049e27a8660cef7b3914c0c5675,"At-Risk Customers",5,2,5,525,1.00,518,1
59acc80225b09b1ae5e1d2a55e9d30f7,"At-Risk Customers",5,2,5,525,1.00,518,1
2f5c9fc06867ca73847b7affeb2b3566,"At-Risk Customers",5,2,5,525,1.00,518,1
f95a2fb1caacbd10edbe4afa7a5980f8,"At-Risk Customers",5,2,5,525,1.00,439,1
e4267ee795e0af3be8273761caef9bae,"At-Risk Customers",5,2,5,525,1.00,440,1
e906b389ad2bfb4058e80f63e73b3458,"At-Risk Customers",5,2,5,525,1.00,440,1
d268e6ccd6cf16a4b2715a699f1a2e31,"At-Risk Customers",5,2,5,525,1.00,440,1
